Title,Posted Date,Rental Price,Number of bedrooms,Neighborhood,Description
Wapato Point Beachfront Condo August 15-22 2019,2019-03-06,$2500,2br,Chelan,"
        
Two bedroom, two bathroom, Top Floor Corner Unit Beach waterfront Condo on Lake Chelan that sleeps 6 (has hide a bed in living room). Full kitchen, Living room and dining room. Great view from the living room and the patio, less than 100 feet from the water. Walk to wine tasting. Fireplace, dishwasher and washer dryer. Morning sun on the deck. Weber Barbeque on the patio, free wifi, everything you would need in the kitchen, block and a half to the outdoor pool
$2,500 for the whole week.  Thursday to Thursday. You can use your credit card via PayPal. No smoking and no pets. Walking distance to Manson and the Red Apple Grocery store, and only 2 miles to the Mill bay Casino. Check in is August 15th 2019and check out is 12PM August 22 2019(Thursday through Thursday) Room for two couple so split the cost and stay on the water at Wapato Point. $2,500 for the entire week. Swim, Water Ski, Jet Ski, wine tasting, fishing.    "
Save with us when booking Hawaii vacation rental condo,2019-03-06,,None,"Maui, Kihei, Hawaii","
        
    "
Vacation by weeks no maintenance ever-Gold Crown Resorts + any resorts,2019-03-06,$25,3br,south Everett,"
        
Vacation Yours for 150 Years by weeks as many as you want / available,just pay from $99 per week only when ordering for 1-2-3 bdrm all same price in 4-5 stars resorts- and up to $ 394 per week for up to 4 bedroom or presidential rooms, you pay as you go same price 1-2-3 or even 4 bedroom same price all the time for 150 years.Resorts always with huge swimming pools indoor and outdoors.You can will it to your kids or any relatives.You do not pay any maintenance of any kind.By showing you our program we give you our certificate and by connecting to now your company we resign the ownership to you and explain all in details.We have it for 7 years and traveled all over USA,Mexico and other countries and stayed in 5 stars resorts for $ 99-$300 per each week/full 7 days , many weeks in a raw in 3 bdrm townhomes, houses or villas and luxury apartments-you choose now on your computer where you go next.Available any time,choose your destination and go 
We want You to travel now and enjoy Your life more.Price is paid once-total $ 8000 dollars. This is a private residence number
Call us  
 ,leave a message,please    "
Furnished Apt in Lakeside Neighborhood,2019-03-06,,1br,Federal Way,"
        
One Bedroom fully furnished apartment.

For pricing I need to know how many people will be staying, move in date and length of stay, reason for stay (business/vacation/job transfer, ect.) and how many vehicles/their type/size.  The reason that I ask about the vehicle is that there is one reserved parking space and it best accommodates a compact sized car.

Fully independent apartment that is a mother-in-law type attached by just one wall (kitchen to kitchen walls).  It has it's own address, mailbox, entry door; it's own full sized washing machine and dryer in a walk-through area with a triple cabinet with shelves above the laundry set and a closet with a double rod and shelf above on the opposite wall.  

The bed is a queen sized and the bedroom has the two nightstands that you see in the photos with lamps as well as a tall chest of drawers that you do not see in the photos as it is on the opposite wall.

wifi set up and included; cable available if you want it.

$ Amount of rent dependent upon lease term and number of occupants.

All spaces nicely furnished. Fully equipped, including kitchen, bed and bath linens; cooking and dining equipped with Cuisinart, Blender, Drip Coffee Maker, Electric Tea Kettle, Toaster, large microwave, ect. plus plates, glassware, flatware, pots and pans, ect. Stainless steel appliances including smooth radiant cooktop with convection oven, side by side refrigerator/freezer with ice maker. More photos and details upon request.

Easy and quick access to I-5. Redondo beach just down the hill 5 minutes with boardwalk and Salty's restaurant. Tennis courts, Trader Joes, Haagen's Grocery, H-Mart, Marlene's Natural Market, Chipotle, Panera, T.J. Maxx, Starbucks, Tennis, parks, trails all within 5 minutes.

Background Check required.

Thank you for your consideration of our property

Key words: Corporate  monthly Boeing Weyerhaeuser Federal Way Des Moines DesMoines Seattle Tacoma Sea-Tac Airport Auburn Renton Kent Redondo Beach Lake View Parks Piano Hardwoods hardwood modern condominium house Tacoma Auburn Tukwila Seattle Short Stay Light Rail    "
Steel Lake Area Furnished,2019-03-06,,1br,Steel Lake,"
        
Apartment that is fully furnished. 

In order to quote you availability/pricing please provide me with the following information: how many people total would be staying with you during your rental period; what move in date are you needing and what lease term (number of weeks or months), your reason for needing a short term fully furnished rental (business/vacation/job transfer, ect.).  Also, how many vehicles and what size/type. The reason that I ask about the vehicle is that there is one reserved parking space and it best accommodates a compact car.

Fully independent apartment that is a mother-in-law type attached by just one wall (kitchen to kitchen walls).  It has it's own address, mailbox, entry door; it's own full sized washing machine and dryer in a walk-through area with a triple cabinet with shelves above the laundry set and a closet with a double rod and shelf above on the opposite wall.  

The bed is a queen sized and the bedroom has the two nightstands that you see in the photos with lamps as well as a tall chest of drawers that you do not see in the photos as it is on the opposite wall.

wifi set up and included; cable available if you want it.

$ Amount of rent dependent upon lease term and number of occupants.

All spaces nicely furnished. Fully equipped, including kitchen, bed and bath linens; cooking and dining equipped with Cuisinart, Blender, Drip Coffee Maker, Electric Tea Kettle, Toaster, large microwave, ect. plus plates, glassware, flatware, pots and pans, ect. Stainless steel appliances including smooth radiant cooktop with convection oven, side by side refrigerator/freezer with ice maker. More photos and details upon request.

Easy and quick access to I-5. Redondo beach just down the hill 5 minutes with boardwalk and Salty's restaurant. Tennis courts, Trader Joes, Haagen's Grocery, H-Mart, Marlene's Natural Market, Chipotle, Panera, T.J. Maxx, Starbucks, Tennis, parks, trails all within 5 minutes.

Background Check required.

Thank you for your consideration of our property

Key words: Corporate  monthly Boeing Weyerhaeuser Federal Way Des Moines DesMoines Seattle Tacoma Sea-Tac Airport Auburn Renton Kent Redondo Beach Lake View Parks Piano Hardwoods hardwood modern condominium house Tacoma Auburn Tukwila Seattle Short Stay Light Rail    "
American Lake - Private beach and dock - Booking summer 2019,2019-03-06,$1,3br,American Lake,"
        
Property is booked  December 22 throw May 1 2019.  Booking three 7+ night stays for the summer of 2019.  Inquire for other stays.

Close to everything. . . yet a world away. Quaintly set on the grounds of Thornewood Estates on American Lake, this new home offers the unmatched blend of privacy and luxury comfort in an exclusive historic setting. Ideal for vacations, extended corporate stays, relocation, visiting family/friends or interim housing while building, remodeling, or moving. Chambers Bay Golf Course just 8.7 miles away.

Very private gated community just five blocks off I-5 exit 123 on the east shore of American Lake in Lakewood . 10 minutes to Tacoma, 15 minutes to Olympia, and 50 minutes to Seattle.   5 minutes to JBLM (McChord AFB / Ft. Lewis).

Private beach and dock with large yard sweeping to the lake.  Newer construction in 2005 so it is very clean and comfortable. 

Open layout features vaulted great room with gas fireplace, and a large deck over looking sweeping views of American Lake, the Olympics, and incredible summer sunsets. 

Master Suite-- king 4 poster bed, jetted tub, large shower, walk in closet, skylight, and vaulted ceilings. 

2nd Bedroom -- Queen panel bed, vaulted ceilings, walk in closet. 

3rd bedroom has a queen bed with Armoire closet.  

Kitchen has a large breakfast bar, and plenty of gathering space. Fully stocked with everything. You just bring the food and drink. 

Also features TV, DVD/CD/VCR, theater surround sound, dishwasher, washer/dryer, and custom lighting.  
Free Wifi.

All living space is on the second floor.  Main floor garage are not included in rental.

Memorial Day to Labor Day - 7-12 night stay - 1 to 8 guests.  $365/night
- Discounted Extended stay rates are also available. 
Each additional person - $15 each per night       

Rates may change without notice 
$800 damage deposit.  $110 cleaning fee.
Email for current rates and availability.

Key words: Tacoma, Seattle, Mt. Rainier, Olympia, Gig Harbor, Western Washington, Lake, Puget Sound, Puyallup Fair, convention, conferance, Tacoma Dome, Fife, Bremerton, Water Ski, Snow Ski, Extended Stay, Hotel, Playoffs, vacation, lodging, McChord AFB, Ft Lewis, Apartment rental, Crystal mountain, White Pass, Packwood, convention, Pacific Luthern University, PLU, UPS University of Puget Sound, Chambers Bay Golf Course, JBLM, Joint Base Lewis McChord, JBLM military, short term lodging    "
Townhouse--Temp FURNISHED 3 bedroom $90+/Night,2019-03-06,$90,3br,Federal Way,"
        
5 STAR REVIEWS!
**NO TEXT Please-Call for availability dates.
You can book this through my listing on Airbnb--10174446
FULLY Furnished, move in ready--The whole unit
GREAT for traveling nurse too!
**Short term rental--4 days to 3 months--sleeps up to 7
**$10 more p/person/per night after 3
**$90+/NIGHT--Seasonal rates
10% monthly discount
**Water and power and garbage, wifi, cable--included.
**RV parking $10/day more-For GUESTS ONLY  NO Hookup
CALL for availability--NO text 
Minutes from all Fed Way has to offer.
Beds and bath are all upstairs.
HD TV DVD-WIFI Included
1Qn 2 single beds plus 2 full size aero beds as needed
3 BR 1.25 bath 1200 sq/ft
Fenced backyard
15 miles south of Seatac airport.
Duplex occupied on 1 side by owner.
Shared laundry facility onsite.
Looking for good quiet, responsible guests
NO Smoking of ANY kind
1 small dog allowed--$75 min--pet deposit required flexible non refundable 
Sorry no cats
**Additional House cleaner available for long term guests for xtra cost if desired.
**Cleaning fee-- $130 
**Breakfast provided at xtra cost if desired
House Rule--Have FUN be RESPONSIBLE.

Federal Way-
Call TIM for questions-- 
 NO text please    "
Beautiful 3B/3B vacation condo,2019-03-06,$175,3br,Kailua-Kona,"
        
© craigslist - Map data © OpenStreetMap
Manukai St
(google map)

3BR / 3Ba 1850ft2 available may 7

furnished 
condo 
laundry in bldg 
off-street parking 
© craigslist - Map data © OpenStreetMap
Manukai St
(google map)

3BR / 3Ba 1850ft2 Available May 7, 2019

condo 
w/d in unit 
no smoking 
off-street parking 

© craigslist - Map data © OpenStreetMap
Manukai St
(google map)

3BR / 3Ba 1850ft2 available April 4, 2019

furnished 
condo 
laundry on site 
no smoking 
off-street parking 
Beautiful 3B/3B vacation condo on the 11th fairway of the Kona County Club Golf Coarse in gated resort. Beautiful blue skies and no vog since the volcano blew just like it used to be years ago.

Near all amenities including shopping, movies, golf, kayak rentals, snorkeling, scuba and deep sea fishing. Located midway on the west side of the island with easy access in all directions. 

This upscale complex has three pools with hot tubs, two lighted tennis courts and gas BBQs throughout 
the complex. 

Our condo is a top floor unit in a 2 story building. Has been recently remodeled and furnished in 
tropical decor. All the main rooms have open vaulted ceilings with ceiling fans and optional air conditioning in each room. 

The living room lanai features a wet bar with an outdoor table that will seat six comfortably with a view of the 11th fairway of the Kona County Club Golf Course. 

The Kitchen features a breakfast bar and is fully equipped for casual dining or island 
entertaining. 

Rates: 
$175/night (double occupancy) 
$185/night (3-4 people)
$195/night (5-6 people)
In Addition is a $150 cleaning fee & the Hawaii State tax of 14.25%

A/C additional cost $20/day if used

To See website with video and pictures go to:
https://www.vacationsfrbo.com/80991    "
** Come for the Experience of Spring **  Sleeps 4 - Bring your Pets **,2019-03-06,$100,1br,Rockaway Beach,"
        
** Enjoy Spring at the beautiful Oregon coast **

Bring your family and/or friends as a surprise and spend quality with them.

Whether it's fishing, hiking shopping, reading, watching TV or just sitting on the patio, relaxing reading a book.

This is a lower Ocean Front Place - The building has only 2 units).

Kitchenette includes:  Microwave, Refrigerator, Toaster Oven and Coffee Maker.

2 Queen Beds with 2 TVs, Wi-fi, Cable - 1 is in the bedroom and the other Queen Bed is in the main room - sleeps 4 nicely.

Rates:                           ~~~~~~~~~ Available Year Round ~~~~~~~~

$ 100 per night

* Plus 12.8% Tax

$ 10 - $15 - one time charge for your Pet (on approval) - Pet Friendly

**** No Smoking ****

Call now to make your reservation.

Please call Pat Kraus at  

    "
** Enjoy Spring at our   ** Beautiful Ocean Front Home **,2019-03-06,$175,3br,Rockaway Beach,"
        
~~ Come to the Oregon coast for the Spring and stay in our Beautiful Ocean Front Home ~~

If you need more space, we have an adjoining 1 Bedroom Suite (full kitchen, bathroom) - see below if your joy is overflowing  !

Rockaway Beach is a hidden jewel on the Oregon coast.

Stay in our 2 Story Ocean Front Home and/or include the 1 Bedroom Suite (* additional cost - see below) so you can invite extra friends and family.

Our home is called the Circuit Breaker, a place to re-charge your batteries.  Do as little or as much as you want.

Relax in front of a blazing, stone fireplace to watch TV, read a good book, listen to music, work a puzzle or simply watch the ocean.  

Or, go for a walk and discover the treasures that wash up on the sand (glass floats) !!

There is local shopping, fishing, golfing and hiking available.
*****************
Home (ONLY) 

** 1500 sq ft **

Amenities include:

Ocean Front View w/30 ft of windows
Stone Fireplace (w/wood)
3 Queen Bedrooms and 1 Hide-a-Bed (Front room) with Linens - Sleeps 8 nicely
2 Bathrooms (1 upstairs / 1 downstairs)
4 TVs with DVD players, Cable, Wi-Fi
Kitchen - Fully equipped:  Dishwasher, Microwave, Coffee Maker, Glass Top Stove, Refrigerator
Washer/Dryer
Large wrap-around deck, tables/chairs
Barbeque

HOUSE ONLY ~ Available Year Round

Rate:               

$ 175 per night

Cleaning fee:  $   80
Tax                   12.8%

                                                              * Sorry- No Pets or Smoking *

******************

Home and 1 Bedroom Suite - ** The Suite is not rented separately and is only available with the House Rental **
Amenities include:

Ocean Front View w/30 ft of windows
Stone Fireplace (w/wood)
4 Queen Bedrooms and 2 Hide-a-Beds (Front rooms) with Linens - Sleeps 12 nicely
3 Bathrooms (2 upstairs / 1 downstairs)
6 TVs with DVD players, Cable, Wi-Fi
2 Kitchens - Fully equipped:  Dishwasher, Microwave, Coffee Maker, Glass Top Stove, Refrigerator
Washer/Dryer
Large wrap-around deck, tables/chairs
Barbeque

(2 night minimum)    ~ Available Year Round ~

HOUSE and SUITE

                
$ 225 per night

Cleaning fee:  $ 125
Tax                   12.8%

                                                      * Sorry - No Pets or Smoking *

******************

Call Bonnie -  

    "
Glamping 1 hr from Seattle - dogs welcome!,2019-03-06,$110,325ft,Vashon Island,"
        
Want a little peace and quiet, a little time out in nature away from the city? Come to serene and interesting Vashon Island in the beautiful green Puget Sound. Spend your days outside in the forest on 10 private acres, on the covered porch, or inside by the woodstove. Then sleep on a comfy bed in this rustic cabin built in the 1880's. Cook inside, or outside on the fire pit, camp stove or BBQ. Two adults, plus a dog, are welcome. Once you get on the ferry you will be here in 50mins.

To learn more and book go to https://glampinghub.com/unitedstatesofamerica/pacificwest/washington/vashon/cabin-rental-vashon-island-washington/?checkin=&checkout=&guests=2
Video tour and testimonials at: https://www.youtube.com/watch?v=IAVMD5fm_pU
    "
"Sunriver / Bend, Pool, Golf Course, Great Location",2019-03-06,$1200,5br,Sunriver,"
        
Just Opened for Next Summer Bookings Starting May 23rd, 2019

3 Augusta Lane is situated on Sunriver's most pristine and prime lot. Surrounded by the 11th and 12th holes of the Resort Meadows Golf Course. Sitting among the huge Ponderosa Pine Trees with over 280° of beautiful golf course frontage, this home happens to be the only property in Sunriver with a private outdoor swimming pool. Centrally located a short distance between the Sunriver Village and the Resort Lodge, this property really is the prime spot for privacy, luxury, and accessibility. Fit for large groups or families, this is how you want to get together with your friends or loved ones. The outdoor living area / swimming pool and hot tub boast a unique setting with panoramic views.

Key Features:
5 Master Suites, 6 Full Bathrooms, 2 Full Kitchens, 2 Family Rooms, Bonus Room.
All 5 Master Suites have a Private Patio overlooking the Meadows Course.
Sunriver's Only Private Heated Outdoor Pool and Brand-New Hot Tub.
Sleeping for 18 people in 4300 square feet.
Beds: 5 King Size, 5 twin, 2 Queen Sleepers.
65"" HDTV's with blue tooth, surround sound in the Great Room and Game Rooms.
poolside Indoor Wet Bar with Sink, Beverage Fridge and a Weber gas BBQ.
8 Poolside Lounge Chairs, Pool Floats, Pool Towels, Patio table and Chairs for 12.
Bonus Room with convertible Poker / Dinning Table Top.
Large Dining Area with seating for 16 people.
Air Conditioning.
Three Fireplaces, One Wood Stove and firewood.
Floor Plans are current and reflect current updates.
Off street parking for approximately 5 vehicles, 2 car garage.
A Set of Men's, Ladies and Children's Golf Clubs.
Tennis rackets for 6 people, 6 snow sleds, bikes, helmets.
One of the main floor master suites has wheel chair accessible doorways.
Wireless Internet, Cable TV, All Smart TV's, Netflix, Wireless HP Copier/Scanner

The Great Room: The picturesque windows that wrap around the Great Room give you remarkable views of the golf course and the sparkling pool that sits out back. Overlooking the Great Room are the dining room and kitchen, all open concept for a great flow. The gourmet kitchen has gorgeous knotty alder cabinets and gas cooktop.

The Mega Master Suite: Off the main entry, up a private stairway sits a 800 sq. ft Mega Master Suite. The bedroom includes a King sized bed, huge bathroom, 3 large closets, office area, fireplace, sitting room with two twin beds, flat screen TV, and covered balcony overlooking the pool and 11th fairway.

Guest Quarters: A separate set of stairs leads to the Guest Quarters with sleeping for 9 people. The Guest Quarters has 2 bedrooms, 2 bathrooms, a family room and its own complete kitchen and dinette. The brand new 500 sq. ft Game Room / Bedroom with panoramic views, vaulted ceilings with wood beams, a gas fireplace, king bed, 2 twin beds, a sectional sofa, a 65"" flat screen TV with surround sound and an X Box player. 2 private decks overlooking the 12th fairway tees and a separate back entrance.

Maximum home occupancy is 18 people, day or night. Pets allowed with management discretion.
For more info and available dates go to:
https://www.cascaravacations.com/property/augusta-3?PageDataID=142956&AD=4/2/2018&DD=4/9/2018 

*** Pool is expected to be available and heated from Memorial Day through early October depending on weather and other factors. Please contact Cascara for definitive dates of availability. ***

Note: This property is currently in the final phase of a remodel. 4 Bedrooms and 4 Bathrooms are being totally redone. Along with the many new features, there may be minor alterations to description.    "
